Start,Destination,Via Road,Distance (km),Signals,Congestion Count,Waterlogging Count,Congestion Points,Waterlogging Points,Route Type,Time (Car),Time (Bike),Time (Cycle),Time (Bus),Expense (Car),Expense (Bike),Expense (Cycle),Expense (Bus),Pollution (Car),Pollution (Bike),Pollution (Cycle),Pollution (Bus),Total Time
"Daryaganj, Delhi","Tughlaqabad, Delhi",Rohtak Road,46.77,12,2,2,"Britannia Chowk, Under IIT Flyover","Aurobindo Marg, GT Road",Internal Road,117.86,92.07,217.4,107.69,344.15,198.95,0.47,30.22,766.1,505.09,-0.05,621.13,39.118
"Daryaganj, Delhi","Tughlaqabad, Delhi",DND Flyway,17.02,6,4,2,"Captain Gaud Marg, Ashram Chowk, Azadpur Flyover, Kalindi Kunj Road","Africa Avenue Road, Dwarka Link Road",Highway,61.05,51.34,98.09,56.91,131.29,81.25,0.17,13.37,355.06,215.48,-0.01,282.15,43.13466666666667
"Connaught Place, Delhi","Noida, Delhi",Vikas Marg,10.16,9,3,1,"Lala Lajpat Rai Marg near CGO Complex, Ashram Chowk, Rohini West Metro Station",Kanjhawala Road,Internal Road,43.2,36.31,68.02,38.55,90.82,49.19,0.1,25.35,231.33,160.67,-0.13,165.13,34.67733333333334
"Connaught Place, Delhi","Noida, Delhi",Outer Ring Road,13.07,12,1,2,Ashram Chowk,"Outer Ring Road, Najafgarh Road",Main Road,46.83,37.9,78.97,40.51,105.97,65.29,0.13,15.98,259.11,176.73,-0.29,233.18,33.87133333333333
"Connaught Place, Delhi","Noida, Delhi",Outer Ring Road,43.51,11,4,2,"Azadpur Flyover, Dwarka Link Road, Kashmiri Gate Ring Road, Kalindi Kunj Road","Mathura Road, Anuvrat Marg",Internal Road,118.13,94.18,210.66,109.08,323.18,181.95,0.44,32.96,702.66,483.97,0.23,600.03,44.900666666666666
"Connaught Place, Delhi","Noida, Delhi",Outer Ring Road,37.18,12,4,3,"Dwarka Link Road, Mukraba to Madhuban Chowk, Ashram Chowk, Kalindi Kunj Road","Aurobindo Marg, Ring Road, Najafgarh Road",Main Road,110.3,89.3,190.66,100.71,272.95,162.02,0.37,24.36,650.52,430.9,0.01,520.2,49.47866666666667
"Punjabi Bagh, Delhi","Wazirabad, Delhi",Vikas Marg,28.53,12,4,1,"Kashmiri Gate Ring Road, Yusuf Sarai Market, NH-48 Gurugram Border, MB Road (Saket Metro to Khanpur)",Najafgarh Road,Internal Road,86.2,69.54,149.26,78.49,216.7,123.4,0.29,19.36,514.95,347.78,-0.08,384.93,38.902
"Punjabi Bagh, Delhi","Wazirabad, Delhi",NH48,6.08,12,3,2,"Peera Garhi Chowk, Rohini West Metro Station, MB Road (Saket Metro to Khanpur)","Ashoka Road, Shankar Road",Main Road,40.28,34.84,58.44,35.4,56.95,35.08,0.06,17.76,186.85,96.95,-0.3,127.28,39.40533333333333
"Punjabi Bagh, Delhi","Wazirabad, Delhi",Najafgarh Road,12.85,12,1,3,Mukraba to Madhuban Chowk,"Ashoka Road, Outer Ring Road, Dwarka Link Road",Internal Road,48.63,39.8,80.33,43.09,107.92,62.29,0.13,15.78,284.89,158.58,0.08,231.53,38.85666666666667
"Punjabi Bagh, Delhi","Wazirabad, Delhi",Mehrauli-Gurgaon Road,16.85,11,2,3,"Ashram Chowk, Britannia Chowk","Anuvrat Marg, Shankar Road, Mathura Road",Internal Road,60.32,49.7,99.52,54.09,132.44,78.65,0.17,15.19,307.36,205.22,-0.49,276.87,42.123333333333335
"Pitampura, Delhi","Janakpuri, Delhi",NH48,13.09,12,4,3,"Dwarka Link Road, Rohini West Metro Station, Yusuf Sarai Market, Kalindi Kunj Road","Boulevard Road, SSN Marg, Shankar Road",Highway,61.48,52.53,93.66,55.54,105.06,60.73,0.13,8.78,291.99,164.79,-0.43,223.31,47.87266666666667
"Pitampura, Delhi","Janakpuri, Delhi",Rohtak Road,24.91,8,2,3,"Ashram Chowk, Britannia Chowk","Dwarka Link Road, Outer Ring Road, Aurobindo Marg",Main Road,73.51,59.45,127.33,67.71,185.68,105.51,0.25,15.46,430.34,305.93,0.34,367.4,42.66066666666667
"Pitampura, Delhi","Janakpuri, Delhi",NH48,12.17,7,2,2,"Kalindi Kunj Road, Adchini Village","Anuvrat Marg, Boulevard Road",Highway,44.42,36.94,72.26,40.32,103.37,54.57,0.12,22.77,242.41,191.5,0.29,218.95,36.81133333333334
"Pitampura, Delhi","Janakpuri, Delhi",NH48,16.48,11,4,3,"Peera Garhi Chowk, Dwarka Link Road, Britannia Chowk, NH-48 Gurugram Border","Tilak Marg, Africa Avenue Road, Kanjhawala Road",Main Road,67.85,57.41,106.31,61.4,128.92,72.23,0.16,21.57,326.05,200.29,-0.26,270.25,48.09866666666667
"Pitampura, Delhi","Janakpuri, Delhi",Barapullah Corridor,40.03,9,1,2,Lala Lajpat Rai Marg near CGO Complex,"Kanjhawala Road, Mathura Road",Internal Road,98.17,76.36,182.73,89.56,295.12,165.79,0.4,29.34,677.01,430.56,-0.0,555.62,35.66866666666667
"Kalkaji, Delhi","RK Puram, Delhi",NH44,25.53,11,2,2,"Yusuf Sarai Market, MB Road (Saket Metro to Khanpur)","Ashoka Road, Mathura Road",Highway,74.84,59.87,131.4,67.37,190.28,111.13,0.26,17.45,480.0,314.0,0.3,356.99,37.702
"Kalkaji, Delhi","RK Puram, Delhi",NH48,28.52,5,2,1,"Britannia Chowk, Adchini Village",Najafgarh Road,Internal Road,71.98,56.73,131.52,66.97,216.02,126.59,0.29,20.38,526.05,317.38,-0.34,394.57,32.90133333333333
"Kalkaji, Delhi","RK Puram, Delhi",Rohtak Road,31.36,8,4,2,"Captain Gaud Marg, Kalindi Kunj Road, Ashram Chowk, Azadpur Flyover","Ashoka Road, SSN Marg",Highway,91.89,74.61,158.61,84.8,235.84,132.39,0.31,18.16,528.75,360.09,-0.49,430.06,44.090666666666664
"Kalkaji, Delhi","RK Puram, Delhi",Mathura Road,40.39,9,4,3,"MB Road (Saket Metro to Khanpur), Lala Lajpat Rai Marg near CGO Complex, Captain Gaud Marg, Ashram Chowk","Najafgarh Road, Choudhary Fateh Singh Marg, Aurobindo Marg",Highway,113.47,91.48,198.75,105.23,300.86,173.87,0.4,19.78,686.51,447.41,0.4,563.19,49.69266666666667
"Kalkaji, Delhi","RK Puram, Delhi",NH44,18.96,7,4,2,"NH-48 Gurugram Border, Peera Garhi Chowk, Adchini Village, Under IIT Flyover","Aurobindo Marg, GT Road",Highway,66.37,55.49,107.79,61.05,143.2,83.17,0.19,21.65,376.99,259.29,-0.49,305.2,43.263999999999996
"Connaught Place, Delhi","Noida, Delhi",Outer Ring Road,14.04,6,3,1,"Barapullah Flyover, Ashram Chowk, Azadpur Flyover",Outer Ring Road,Internal Road,48.47,40.25,79.55,44.33,117.74,65.91,0.14,23.73,306.27,171.53,0.23,217.54,34.936
"Connaught Place, Delhi","Noida, Delhi",Mathura Road,6.36,5,3,2,"Britannia Chowk, Yusuf Sarai Market, Rohini West Metro Station","Outer Ring Road, Akbar Road",Main Road,35.04,30.86,50.26,32.42,59.81,34.29,0.06,10.05,183.5,96.97,0.06,122.45,39.424
"Connaught Place, Delhi","Noida, Delhi",DND Flyway,33.6,8,1,3,NH-48 Gurugram Border,"Tilak Marg, GT Road, SSN Marg",Internal Road,87.19,68.78,158.39,80.0,250.83,145.24,0.34,13.76,583.28,389.14,-0.19,471.61,40.24
"Connaught Place, Delhi","Noida, Delhi",Rohtak Road,12.58,11,4,3,"Kalindi Kunj Road, Dwarka Link Road, NH-48 Gurugram Border, Adchini Village","Tilak Marg, Dwarka Link Road, Najafgarh Road",Main Road,60.05,51.56,90.7,54.09,100.64,63.28,0.13,25.75,241.17,170.77,-0.1,197.48,47.83866666666667
"Connaught Place, Delhi","Noida, Delhi",Vikas Marg,37.93,6,4,1,"Kashmiri Gate Ring Road, MB Road (Saket Metro to Khanpur), Dwarka Link Road, Britannia Chowk",Tilak Marg,Main Road,100.04,79.88,178.9,93.12,281.28,165.99,0.38,23.95,621.97,409.39,0.13,500.34,39.528666666666666
"Connaught Place, Delhi","Noida, Delhi",Barapullah Corridor,35.74,7,4,1,"Lala Lajpat Rai Marg near CGO Complex, Adchini Village, Dwarka Link Road, Under IIT Flyover",Kanjhawala Road,Highway,96.41,77.14,171.39,89.51,263.39,156.78,0.36,21.91,615.1,410.12,-0.24,493.89,39.382666666666665
"Connaught Place, Delhi","Noida, Delhi",Najafgarh Road,46.5,10,3,3,"Adchini Village, Captain Gaud Marg, NH-48 Gurugram Border","Anuvrat Marg, Kanjhawala Road, Ashoka Road",Highway,123.12,97.88,221.12,113.19,336.18,194.78,0.47,27.34,781.75,498.35,0.25,612.14,47.1
"Connaught Place, Delhi","Noida, Delhi",NH44,29.73,9,3,3,"Ashram Chowk, NH-48 Gurugram Border, Rohini West Metro Station","Boulevard Road, Choudhary Fateh Singh Marg, SSN Marg",Main Road,88.33,71.66,152.29,81.24,223.27,131.88,0.3,30.43,527.71,366.13,-0.43,405.26,45.982
"Shalimar Bagh, Delhi","Rajinder Nagar, Delhi",Najafgarh Road,35.42,12,1,3,Peera Garhi Chowk,"Boulevard Road, Akbar Road, Kanjhawala Road",Internal Road,94.15,74.04,170.99,85.41,260.64,151.57,0.35,31.66,603.29,408.82,-0.14,489.75,40.361333333333334
"Shalimar Bagh, Delhi","Rajinder Nagar, Delhi",Rohtak Road,28.6,12,4,3,"Captain Gaud Marg, Britannia Chowk, Ashram Chowk, Azadpur Flyover","Ring Road, Najafgarh Road, Anuvrat Marg",Highway,92.42,75.72,155.62,84.62,218.24,124.78,0.29,26.18,514.86,353.83,-0.1,422.3,48.906666666666666
"Shalimar Bagh, Delhi","Rajinder Nagar, Delhi",Barapullah Corridor,8.72,6,1,2,Adchini Village,"Ashoka Road, Tilak Marg",Internal Road,32.83,27.27,53.27,29.35,76.46,44.05,0.09,24.59,206.13,120.18,-0.05,151.99,33.58133333333333
"Shalimar Bagh, Delhi","Rajinder Nagar, Delhi",DND Flyway,48.76,8,1,1,Lala Lajpat Rai Marg near CGO Complex,Kanjhawala Road,Highway,111.73,85.75,213.25,102.42,360.08,205.13,0.49,27.16,827.8,549.89,0.27,637.88,31.250666666666667
"Shalimar Bagh, Delhi","Rajinder Nagar, Delhi",DND Flyway,48.74,11,1,1,Azadpur Flyover,Najafgarh Road,Main Road,114.14,87.57,217.12,103.89,355.62,208.04,0.49,28.51,814.42,522.08,0.15,625.8,31.249333333333333
"Shalimar Bagh, Delhi","Rajinder Nagar, Delhi",Mathura Road,6.74,9,1,2,Azadpur Flyover,"Ashoka Road, Akbar Road",Internal Road,31.14,25.98,49.12,27.14,59.79,39.17,0.07,15.3,183.83,104.49,0.09,123.22,33.44933333333333
"Shalimar Bagh, Delhi","Rajinder Nagar, Delhi",Mehrauli-Gurgaon Road,18.95,9,2,3,"Kashmiri Gate Ring Road, Kalindi Kunj Road","Aurobindo Marg, Najafgarh Road, Mathura Road",Main Road,62.95,51.68,105.35,57.03,150.7,83.56,0.19,15.54,376.33,240.82,-0.32,301.47,42.263333333333335
"Shalimar Bagh, Delhi","Rajinder Nagar, Delhi",Outer Ring Road,41.74,12,4,2,"MB Road (Saket Metro to Khanpur), Azadpur Flyover, Mukraba to Madhuban Chowk, Peera Garhi Chowk","Boulevard Road, Africa Avenue Road",Internal Road,115.8,92.53,205.28,106.26,304.34,181.38,0.42,22.3,699.65,482.33,0.04,565.63,44.78266666666667
"Shalimar Bagh, Delhi","Rajinder Nagar, Delhi",Rohtak Road,20.68,11,2,1,"Dwarka Link Road, Mukraba to Madhuban Chowk",Kanjhawala Road,Highway,61.88,49.34,108.75,55.27,161.83,95.6,0.21,24.72,385.11,257.56,-0.43,317.42,32.37866666666667
"Govindpuri, Delhi","Seelampur, Delhi",Mathura Road,46.73,12,1,2,Dwarka Link Road,"SSN Marg, Choudhary Fateh Singh Marg",Highway,113.84,88.08,213.3,103.62,338.12,193.46,0.47,18.3,775.24,523.31,-0.44,623.35,36.11533333333333
"Govindpuri, Delhi","Seelampur, Delhi",Najafgarh Road,30.28,9,1,2,Adchini Village,"Najafgarh Road, Boulevard Road",Internal Road,78.19,61.26,143.25,71.28,226.23,132.76,0.3,24.44,504.77,346.99,-0.22,427.22,35.01866666666667
"Govindpuri, Delhi","Seelampur, Delhi",Mehrauli-Gurgaon Road,47.19,12,2,3,"Yusuf Sarai Market, NH-48 Gurugram Border","Anuvrat Marg, Tilak Marg, Dwarka Link Road",Internal Road,122.39,96.39,222.77,111.48,349.46,200.36,0.47,15.1,793.67,517.02,-0.05,637.08,44.146
"Govindpuri, Delhi","Seelampur, Delhi",Rohtak Road,12.87,11,4,3,"Adchini Village, Azadpur Flyover, Ashram Chowk, Lala Lajpat Rai Marg near CGO Complex","Outer Ring Road, Choudhary Fateh Singh Marg, Ashoka Road",Highway,60.33,51.69,91.56,54.63,109.89,60.65,0.13,18.64,269.98,186.74,0.23,209.61,47.858000000000004
"Govindpuri, Delhi","Seelampur, Delhi",Mathura Road,43.26,5,2,2,"Under IIT Flyover, NH-48 Gurugram Border","Tilak Marg, Mathura Road",Internal Road,104.77,82.14,193.78,97.61,322.37,187.97,0.43,14.1,732.31,464.17,0.37,569.59,38.884
"Ashok Vihar, Delhi","Khan Market, Delhi",Mathura Road,30.96,10,1,2,Adchini Village,"Shankar Road, Dwarka Link Road",Highway,80.42,62.95,147.34,73.05,232.18,134.45,0.31,24.28,538.71,365.3,-0.12,444.83,35.064
"Ashok Vihar, Delhi","Khan Market, Delhi",Rohtak Road,28.08,8,3,1,"Azadpur Flyover, Adchini Village, Dwarka Link Road",GT Road,Main Road,78.12,62.48,138.28,71.65,215.19,122.3,0.28,18.7,477.96,331.44,0.23,401.08,35.872
"Ashok Vihar, Delhi","Khan Market, Delhi",DND Flyway,47.63,10,2,1,"Barapullah Flyover, Under IIT Flyover",Ashoka Road,Highway,115.01,89.19,215.27,105.31,345.02,203.43,0.48,32.22,806.83,533.28,-0.35,640.15,34.175333333333334
"Ashok Vihar, Delhi","Khan Market, Delhi",DND Flyway,38.24,7,2,2,"MB Road (Saket Metro to Khanpur), Ashram Chowk","Choudhary Fateh Singh Marg, Aurobindo Marg",Highway,96.6,76.08,176.58,89.2,279.05,167.66,0.38,20.86,643.87,450.5,0.24,520.78,38.54933333333334
"Laxmi Nagar, Delhi","Dwarka, Delhi",Mehrauli-Gurgaon Road,26.68,10,2,1,"Britannia Chowk, Adchini Village",Choudhary Fateh Singh Marg,Highway,73.28,57.94,131.63,66.03,203.26,111.73,0.27,15.22,451.07,320.22,-0.3,369.4,32.778666666666666
"Laxmi Nagar, Delhi","Dwarka, Delhi",DND Flyway,13.39,7,4,1,"Barapullah Flyover, Ashram Chowk, Adchini Village, Lala Lajpat Rai Marg near CGO Complex",Africa Avenue Road,Main Road,52.12,44.02,82.4,47.61,110.74,63.51,0.13,16.65,259.22,179.47,-0.25,208.08,37.89266666666667
"Laxmi Nagar, Delhi","Dwarka, Delhi",Mathura Road,25.31,9,4,2,"Britannia Chowk, Yusuf Sarai Market, Barapullah Flyover, Peera Garhi Chowk","Akbar Road, Africa Avenue Road",Highway,80.42,65.97,135.54,73.96,195.19,109.12,0.25,11.8,443.7,296.55,-0.04,361.89,43.687333333333335
"Laxmi Nagar, Delhi","Dwarka, Delhi",DND Flyway,13.89,9,4,1,"Captain Gaud Marg, Dwarka Link Road, NH-48 Gurugram Border, Barapullah Flyover",Choudhary Fateh Singh Marg,Internal Road,54.76,46.01,87.03,49.54,115.1,68.24,0.14,19.67,283.47,205.29,-0.35,216.93,37.926
"Laxmi Nagar, Delhi","Dwarka, Delhi",NH44,38.63,11,2,1,"Rohini West Metro Station, Ashram Chowk",Aurobindo Marg,Internal Road,98.23,76.72,181.0,88.93,289.94,166.96,0.39,30.94,644.09,440.33,-0.36,530.4,33.57533333333333
"Connaught Place, Delhi","Noida, Delhi",Outer Ring Road,18.18,6,3,2,"Peera Garhi Chowk, Barapullah Flyover, Ashram Chowk","GT Road, Akbar Road",Highway,59.84,49.55,99.2,55.09,144.32,81.69,0.18,9.48,327.42,239.74,0.07,285.67,40.212
"Connaught Place, Delhi","Noida, Delhi",Mathura Road,49.64,9,4,1,"Mukraba to Madhuban Chowk, MB Road (Saket Metro to Khanpur), Captain Gaud Marg, Rohini West Metro Station",GT Road,Highway,126.17,99.55,229.94,116.58,363.52,207.61,0.5,17.0,843.59,545.8,0.33,635.79,40.309333333333335
"Connaught Place, Delhi","Noida, Delhi",Mathura Road,44.09,9,4,2,"Kalindi Kunj Road, Dwarka Link Road, Kashmiri Gate Ring Road, MB Road (Saket Metro to Khanpur)","Akbar Road, GT Road",Highway,118.56,94.71,211.24,109.17,324.15,185.35,0.44,32.67,712.39,495.04,0.03,570.22,44.93933333333334
"Connaught Place, Delhi","Noida, Delhi",Najafgarh Road,9.54,5,1,1,Kalindi Kunj Road,SSN Marg,Highway,30.63,24.86,52.21,27.39,81.35,44.18,0.1,12.91,241.37,163.01,0.15,166.31,28.636
"Ashok Vihar, Delhi","Khan Market, Delhi",NH44,39.77,5,2,3,"Mukraba to Madhuban Chowk, Britannia Chowk","Anuvrat Marg, Ashoka Road, Shankar Road",Internal Road,101.4,80.52,183.44,94.07,289.41,170.52,0.4,21.57,673.78,446.09,-0.46,533.7,43.65133333333333
"Ashok Vihar, Delhi","Khan Market, Delhi",Barapullah Corridor,24.94,8,4,3,"Yusuf Sarai Market, NH-48 Gurugram Border, Mukraba to Madhuban Chowk, Under IIT Flyover","Kanjhawala Road, Tilak Marg, Mathura Road",Internal Road,81.96,67.89,135.84,75.76,192.69,107.14,0.25,22.73,426.09,281.93,0.3,373.17,48.66266666666667
"Ashok Vihar, Delhi","Khan Market, Delhi",Najafgarh Road,28.08,12,4,2,"Barapullah Flyover, Ashram Chowk, Captain Gaud Marg, Adchini Village","GT Road, Choudhary Fateh Singh Marg",Internal Road,88.19,71.75,150.35,80.65,215.34,117.41,0.28,28.12,491.88,318.64,-0.24,407.16,43.872
"Ashok Vihar, Delhi","Khan Market, Delhi",NH48,13.96,9,4,1,"Kalindi Kunj Road, Ashram Chowk, Adchini Village, Lala Lajpat Rai Marg near CGO Complex",Africa Avenue Road,Highway,54.88,46.1,87.3,49.67,111.87,67.11,0.14,8.38,279.25,185.77,-0.2,208.18,37.93066666666667
"Govindpuri, Delhi","Seelampur, Delhi",Najafgarh Road,24.99,11,1,2,Kalindi Kunj Road,"Ashoka Road, Aurobindo Marg",Highway,70.06,55.37,125.54,62.36,190.92,110.26,0.25,27.57,430.51,288.81,-0.32,359.03,34.666
"Govindpuri, Delhi","Seelampur, Delhi",Rohtak Road,43.15,11,2,2,"Peera Garhi Chowk, Yusuf Sarai Market","Najafgarh Road, Boulevard Road",Main Road,110.16,86.39,201.97,100.41,321.75,184.4,0.43,17.26,717.09,471.48,0.11,591.16,38.876666666666665
"Govindpuri, Delhi","Seelampur, Delhi",Rohtak Road,5.03,5,3,3,"Adchini Village, NH-48 Gurugram Border, Ashram Chowk","Ring Road, Boulevard Road, Shankar Road",Main Road,35.66,32.14,48.22,32.93,47.23,33.92,0.05,9.14,165.01,96.58,-0.5,118.81,44.33533333333334
"Govindpuri, Delhi","Seelampur, Delhi",Vikas Marg,6.23,10,1,1,Rohini West Metro Station,Kanjhawala Road,Internal Road,27.95,22.83,45.41,23.68,58.73,33.79,0.06,7.29,159.62,121.12,0.03,137.35,28.415333333333333
"Govindpuri, Delhi","Seelampur, Delhi",Outer Ring Road,43.38,8,2,2,"Adchini Village, Ashram Chowk","Najafgarh Road, Tilak Marg",Highway,107.62,84.33,198.38,99.34,321.14,182.79,0.43,30.41,745.56,488.37,-0.32,565.21,38.891999999999996
"Kashmere Gate, Delhi","Saket, Delhi",DND Flyway,25.91,6,3,3,"Azadpur Flyover, Under IIT Flyover, Dwarka Link Road","Dwarka Link Road, Africa Avenue Road, Kanjhawala Road",Main Road,77.85,63.7,132.68,72.58,198.07,112.85,0.26,11.31,487.58,312.71,0.23,375.63,45.727333333333334
"Kashmere Gate, Delhi","Saket, Delhi",NH48,21.66,9,1,3,Rohini West Metro Station,"GT Road, Dwarka Link Road, Akbar Road",Internal Road,64.31,51.68,112.12,58.11,165.85,93.27,0.22,14.22,414.01,273.14,0.34,318.24,39.444
"Kashmere Gate, Delhi","Saket, Delhi",Outer Ring Road,22.2,6,4,2,"Lala Lajpat Rai Marg near CGO Complex, Kalindi Kunj Road, Kashmiri Gate Ring Road, Yusuf Sarai Market","Najafgarh Road, SSN Marg",Highway,71.84,59.54,119.24,66.62,166.6,100.0,0.22,18.62,402.16,265.2,0.14,306.7,43.480000000000004
"Kashmere Gate, Delhi","Saket, Delhi",Najafgarh Road,27.89,8,3,1,"MB Road (Saket Metro to Khanpur), Yusuf Sarai Market, Adchini Village",Mathura Road,Main Road,77.65,62.1,137.43,71.29,207.75,121.76,0.28,26.38,501.67,339.57,0.01,387.03,35.85933333333333
"Kashmere Gate, Delhi","Saket, Delhi",Rohtak Road,29.93,10,1,2,Kashmiri Gate Ring Road,"Ring Road, Anuvrat Marg",Internal Road,78.59,61.62,143.45,71.12,221.68,133.58,0.3,27.42,512.43,361.07,-0.12,434.32,34.995333333333335
"Rithala, Delhi","Chhatarpur, Delhi",Vikas Marg,15.26,12,4,3,"Ashram Chowk, Dwarka Link Road, Barapullah Flyover, Captain Gaud Marg","GT Road, Africa Avenue Road, Dwarka Link Road",Internal Road,65.96,55.93,102.48,59.61,118.05,69.83,0.15,10.34,292.61,203.09,-0.45,248.05,48.01733333333333
"Rithala, Delhi","Chhatarpur, Delhi",Outer Ring Road,27.32,8,3,3,"MB Road (Saket Metro to Khanpur), Adchini Village, Kalindi Kunj Road","GT Road, Najafgarh Road, Choudhary Fateh Singh Marg",Highway,82.69,67.43,141.33,76.22,204.4,121.65,0.27,15.57,478.47,305.23,0.1,401.84,45.82133333333333
"Rithala, Delhi","Chhatarpur, Delhi",Mehrauli-Gurgaon Road,30.78,10,4,1,"MB Road (Saket Metro to Khanpur), Britannia Chowk, Mukraba to Madhuban Chowk, Adchini Village",Shankar Road,Main Road,89.53,72.14,156.09,81.71,226.94,133.27,0.31,17.36,540.66,361.94,0.04,409.47,39.052
"Rithala, Delhi","Chhatarpur, Delhi",Barapullah Corridor,41.44,6,3,2,"Azadpur Flyover, NH-48 Gurugram Border, Kashmiri Gate Ring Road","Anuvrat Marg, Boulevard Road",Highway,105.81,83.89,191.69,98.7,302.64,175.15,0.41,16.96,690.5,450.49,-0.4,541.34,41.76266666666667
"Rithala, Delhi","Chhatarpur, Delhi",Najafgarh Road,28.68,7,4,2,"Yusuf Sarai Market, Under IIT Flyover, NH-48 Gurugram Border, Azadpur Flyover","Akbar Road, Africa Avenue Road",Internal Road,85.49,69.75,146.35,79.28,220.26,123.26,0.29,29.24,521.51,342.62,-0.09,411.92,43.912
"Kalkaji, Delhi","RK Puram, Delhi",Najafgarh Road,21.69,6,1,2,Adchini Village,"Choudhary Fateh Singh Marg, Boulevard Road",Main Road,58.36,46.31,104.74,53.67,162.94,92.09,0.22,23.84,403.12,264.9,-0.47,304.09,34.446
"Kalkaji, Delhi","RK Puram, Delhi",Barapullah Corridor,28.87,6,1,2,Peera Garhi Chowk,"SSN Marg, Mathura Road",Internal Road,72.79,57.15,133.53,67.13,215.1,129.07,0.29,18.66,516.95,338.13,-0.06,392.68,34.92466666666667
"Kalkaji, Delhi","RK Puram, Delhi",NH44,14.67,6,1,3,Kalindi Kunj Road,"Tilak Marg, SSN Marg, Kanjhawala Road",Main Road,47.47,38.94,79.81,43.51,117.8,67.63,0.15,15.72,305.63,206.43,-0.15,220.38,38.978
"Kalkaji, Delhi","RK Puram, Delhi",Vikas Marg,26.84,5,2,3,"Kashmiri Gate Ring Road, Rohini West Metro Station","Kanjhawala Road, Mathura Road, Africa Avenue Road",Highway,75.0,60.58,131.18,69.83,201.3,116.13,0.27,28.2,471.06,315.55,-0.14,400.76,42.78933333333333
"Connaught Place, Delhi","Noida, Delhi",NH48,31.59,12,1,3,Under IIT Flyover,"Kanjhawala Road, Dwarka Link Road, SSN Marg",Main Road,86.56,68.37,155.74,78.23,234.54,135.05,0.32,18.33,551.04,359.28,0.2,440.02,40.106
"Connaught Place, Delhi","Noida, Delhi",Mathura Road,14.58,5,3,1,"Mukraba to Madhuban Chowk, Dwarka Link Road, Azadpur Flyover",Boulevard Road,Main Road,48.69,40.4,80.34,44.84,121.77,70.14,0.15,16.65,314.45,205.13,0.46,226.02,34.972
"Connaught Place, Delhi","Noida, Delhi",Mathura Road,38.13,12,2,2,"Captain Gaud Marg, Britannia Chowk","Boulevard Road, Choudhary Fateh Singh Marg",Highway,100.76,79.29,183.02,91.49,279.6,161.35,0.38,24.03,641.24,437.75,-0.45,526.97,38.542
"Connaught Place, Delhi","Noida, Delhi",Mathura Road,38.43,11,3,1,"Peera Garhi Chowk, Adchini Village, Dwarka Link Road",Shankar Road,Internal Road,101.56,80.14,183.91,92.56,287.21,158.92,0.38,23.97,649.47,430.21,-0.09,510.62,36.562
"Ashok Vihar, Delhi","Khan Market, Delhi",DND Flyway,8.65,9,2,2,"Rohini West Metro Station, Captain Gaud Marg","Africa Avenue Road, Tilak Marg",Internal Road,39.22,33.09,61.02,34.72,74.14,41.81,0.09,21.11,199.25,154.11,-0.2,179.0,36.57666666666667
"Ashok Vihar, Delhi","Khan Market, Delhi",Vikas Marg,28.73,12,2,2,"Under IIT Flyover, Adchini Village","Akbar Road, Boulevard Road",Main Road,81.78,65.02,145.25,73.87,217.46,127.14,0.29,17.66,490.59,324.24,0.19,406.57,37.915333333333336
"Ashok Vihar, Delhi","Khan Market, Delhi",Vikas Marg,16.03,10,1,1,Peera Garhi Chowk,Anuvrat Marg,Internal Road,47.55,37.54,84.62,42.06,126.75,75.31,0.16,13.15,302.34,213.08,-0.25,264.76,29.068666666666665
"Ashok Vihar, Delhi","Khan Market, Delhi",DND Flyway,33.01,12,2,3,"Azadpur Flyover, Mukraba to Madhuban Chowk","Boulevard Road, Dwarka Link Road, Mathura Road",Highway,93.12,74.22,165.14,84.89,242.18,142.57,0.33,29.75,582.72,388.31,-0.42,439.58,43.20066666666666
"Ashok Vihar, Delhi","Khan Market, Delhi",Outer Ring Road,37.86,11,1,2,Peera Garhi Chowk,"Najafgarh Road, Ashoka Road",Main Road,94.98,73.85,176.2,86.49,277.72,165.39,0.38,19.78,636.54,441.33,0.24,516.19,35.524
"Ashok Vihar, Delhi","Khan Market, Delhi",NH48,21.63,9,2,1,"Lala Lajpat Rai Marg near CGO Complex, Kashmiri Gate Ring Road",Akbar Road,Main Road,61.83,49.22,109.59,56.06,161.73,99.6,0.22,15.94,417.01,250.65,0.28,321.41,32.442
"Ashok Vihar, Delhi","Khan Market, Delhi",NH48,47.73,7,2,1,"Rohini West Metro Station, Yusuf Sarai Market",SSN Marg,Internal Road,112.61,87.35,211.57,103.99,349.41,200.29,0.48,19.88,782.31,527.55,-0.23,651.64,34.182
"Ashok Vihar, Delhi","Khan Market, Delhi",NH44,11.09,10,2,3,"Britannia Chowk, Adchini Village","Dwarka Link Road, Kanjhawala Road, Anuvrat Marg",Highway,47.94,40.39,75.12,42.79,88.01,54.59,0.11,27.1,227.67,155.29,-0.09,183.21,41.739333333333335
"Kashmere Gate, Delhi","Saket, Delhi",NH48,14.24,6,2,2,"Under IIT Flyover, Adchini Village","Africa Avenue Road, GT Road",Internal Road,47.94,39.62,79.42,43.7,112.23,71.64,0.14,14.73,278.4,193.24,0.27,218.67,36.94933333333333
